datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_second,label
1,110.12.142.114,1337,10.0.0.2,80,17,0,0,21,0,0,0,0,0,0.0,1
1,110.139.91.7,1101,10.0.0.2,80,17,0,0,44,0,0,0,0,0,0.0,1
1,110204137223,1102,10.0.0.2,80,17,0,0,44,0,0,0,0,0,0.0,1
1,110229224144,1107,10.0.0.2,80,17,0,0,44,0,0,0,0,0,0.0,1
1,110.238.37.21,1216,10.0.0.2,80,17,0,0,33,0,0,0,0,0,0.0,1
1,110.73.229.2,1318,10.0.0.2,80,17,0,0,23,0,0,0,0,0,0.0,1
1,112.250.66.177,1370,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,112.36.211.1,1098,10.0.0.2,80,17,0,0,45,0,0,0,0,0,0.0,1
1,114177137107,1309,10.0.0.2,80,17,0,0,23,0,0,0,0,0,0.0,1
1,115.82.234.159,1122,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,116227191152,1296,10.0.0.2,80,17,0,0,25,0,0,0,0,0,0.0,1
1,118.196.12.84,1386,10.0.0.2,80,17,0,0,16,0,0,0,0,0,0.0,1
1,12.11.238.190,1183,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,121109141110,1220,10.0.0.2,80,17,0,0,32,0,0,0,0,0,0.0,1
1,121.229.64.114,1407,10.0.0.2,80,17,0,0,14,0,0,0,0,0,0.0,1
1,121.49.249.247,1349,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,123.103.219.14,1397,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,123.112.118.73,1238,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
1,123174169149,1401,10.0.0.2,80,17,0,0,14,0,0,0,0,0,0.0,1
1,123.18.199.58,1179,10.0.0.2,80,17,0,0,37,0,0,0,0,0,0.0,1
1,123.210.181.42,1256,10.0.0.2,80,17,0,0,29,0,0,0,0,0,0.0,1
1,123.28.243.210,1345,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,123.52.240.219,1275,10.0.0.2,80,17,0,0,27,0,0,0,0,0,0.0,1
1,123.76.7.64,1354,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,123.8.166.112,1301,10.0.0.2,80,17,0,0,24,0,0,0,0,0,0.0,1
1,123.82.100.209,1140,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,123.82.144.52,1189,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,128.0.154.90,1329,10.0.0.2,80,17,0,0,21,0,0,0,0,0,0.0,1
1,128.10.109.202,1158,10.0.0.2,80,17,0,0,39,0,0,0,0,0,0.0,1
1,128100193103,1276,10.0.0.2,80,17,0,0,27,0,0,0,0,0,0.0,1
1,128.109.210.76,1257,10.0.0.2,80,17,0,0,29,0,0,0,0,0,0.0,1
1,128.110.52.8,1207,10.0.0.2,80,17,0,0,34,0,0,0,0,0,0.0,1
1,128.211.161.93,1359,10.0.0.2,80,17,0,0,18,0,0,0,0,0,0.0,1
1,128.7.107.36,1197,10.0.0.2,80,17,0,0,35,0,0,0,0,0,0.0,1
1,128.91.100.79,1234,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
1,129.153.191.76,1297,10.0.0.2,80,17,0,0,25,0,0,0,0,0,0.0,1
1,13.14.100.96,1090,10.0.0.2,80,17,0,0,46,0,0,0,0,0,0.0,1
1,13.158.37.91,1218,10.0.0.2,80,17,0,0,33,0,0,0,0,0,0.0,1
1,13.158.53.229,1339,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,13.187.49.10,1187,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,130134161190,1173,10.0.0.2,80,17,0,0,37,0,0,0,0,0,0.0,1
1,130.229.56.59,1406,10.0.0.2,80,17,0,0,14,0,0,0,0,0,0.0,1
